high_income,male,married,higher_edu,managerial_occ,high_hours,gov_jobs,race,age,native_country
0,1,6,9,3,50,3,4,28,18
0,0,1,9,1,40,8,4,23,39
1,1,2,9,4,78,6,4,26,39
0,1,1,10,8,35,8,4,19,39
0,1,6,10,6,50,8,3,37,39
0,1,6,9,3,40,8,4,51,39
0,0,6,9,8,35,8,4,47,39
1,1,6,9,4,40,8,4,39,39
0,0,2,10,10,45,4,4,39,39
1,1,6,10,7,40,8,3,44,39
0,0,2,16,10,50,8,4,50,39
0,1,1,7,6,10,8,4,17,39
0,0,1,10,8,34,8,2,25,39
0,1,6,12,13,40,8,4,27,39
0,1,6,6,3,38,8,4,50,39
0,1,1,11,1,45,8,3,31,39
0,0,1,12,1,20,8,4,23,39
0,0,2,13,10,40,8,4,44,39
0,0,1,10,8,30,8,4,23,39
0,1,6,9,7,40,8,4,47,39
1,0,6,13,1,45,6,4,42,39
0,0,1,13,10,50,4,4,47,39
0,0,1,9,8,40,8,3,56,39
0,0,1,10,1,12,8,4,21,39
0,0,2,13,12,40,3,4,51,39
0,0,1,10,1,40,8,4,27,39
0,0,2,10,12,40,8,4,51,22
0,1,1,9,7,40,8,3,26,39
0,0,2,9,7,38,8,4,35,24
0,1,1,10,3,48,8,4,28,39
0,0,2,9,4,52,8,4,40,39
1,1,6,10,12,44,8,4,31,39
0,0,1,10,8,40,8,4,24,39
0,0,1,10,8,40,8,4,25,39
0,1,6,5,3,45,3,4,65,39
1,1,6,14,3,40,3,4,59,39
0,1,6,10,4,36,8,4,35,39
0,1,1,13,13,60,8,4,30,18
0,0,1,10,13,40,8,4,29,27
0,1,6,7,7,40,8,4,36,39
1,1,6,10,4,40,8,4,47,39
0,0,6,8,8,24,8,4,58,39
0,1,4,9,3,35,3,4,29,39
1,1,6,11,5,50,3,4,45,39
0,0,2,5,8,40,7,4,62,39
0,1,6,10,3,55,8,4,35,39
0,1,6,9,3,40,4,4,28,39
1,1,6,13,1,40,7,4,58,39
0,1,6,9,8,30,8,4,57,39
0,0,2,9,1,40,8,4,43,39
0,1,1,5,14,40,8,4,22,39
0,1,1,13,13,50,4,4,27,39
1,1,6,13,10,35,4,4,46,39
0,0,1,9,7,40,8,4,18,39
0,1,5,9,3,40,8,4,63,39
0,1,2,9,12,40,3,4,49,39
0,0,1,9,12,33,8,4,18,39
1,1,6,10,13,40,8,4,41,14
0,1,1,7,6,12,8,4,17,39
0,1,1,10,6,40,8,3,27,39
0,0,4,9,7,40,8,4,43,39
0,0,1,13,10,40,8,4,27,39
0,1,6,9,3,46,8,4,48,39
0,0,1,16,10,99,5,4,24,9
