high_income,male,married,higher_edu,managerial_occ,high_hours,gov_jobs,race,age,native_country
0,1,6,11,1,40,7,4,47,39
0,1,3,10,7,20,4,4,66,39
0,1,6,9,3,40,8,4,36,39
1,1,6,9,3,40,7,3,57,39
0,0,6,12,8,25,8,4,37,39
0,1,6,13,10,40,3,4,48,39
0,1,4,9,3,40,8,4,33,39
1,1,6,13,12,20,3,4,37,2
0,1,6,13,4,40,8,4,36,39
1,1,6,13,1,38,5,4,32,39
0,0,1,13,1,40,8,4,26,39
0,1,2,10,6,40,8,4,39,39
1,1,6,16,10,80,6,4,62,39
0,0,3,5,8,40,8,3,61,39
0,1,6,10,12,48,8,4,36,39
0,1,6,10,7,40,8,4,27,39
0,1,2,10,4,60,8,4,54,39
1,1,6,9,3,40,8,4,59,39
0,1,1,12,3,40,3,4,34,39
0,1,1,9,1,40,8,4,30,39
0,0,1,6,8,15,8,4,17,39
1,1,6,10,3,40,8,4,45,39
0,1,6,3,3,40,8,4,53,39
0,0,1,9,12,40,8,4,31,39
0,1,6,9,5,45,6,4,36,39
0,1,1,13,10,40,8,2,29,36
0,0,1,9,9,15,8,4,26,26
0,1,1,12,1,40,8,4,46,39
0,1,1,5,3,47,3,4,31,39
0,1,1,10,3,40,8,4,23,39
1,1,6,14,10,36,4,4,50,39
0,0,1,11,13,64,5,4,29,39
0,1,2,10,7,50,8,4,44,39
1,1,2,9,3,48,8,1,34,39
0,1,6,13,10,50,7,4,47,39
1,1,6,10,4,40,8,4,36,39
0,1,1,9,8,15,8,4,54,39
0,1,1,5,8,40,8,4,24,8
0,0,1,14,13,40,8,4,43,39
0,1,1,12,3,40,3,4,26,39
0,1,2,9,6,40,8,4,28,39
1,1,6,13,10,50,6,4,57,39
0,0,1,9,8,30,8,3,21,39
1,0,2,13,8,40,8,4,47,39
0,1,2,10,12,50,8,4,27,39
0,0,2,9,8,20,8,3,53,39
1,1,5,16,10,60,8,2,38,3
0,1,2,13,4,55,8,4,39,39
0,0,3,6,14,40,8,4,70,12
1,1,6,9,4,59,3,4,65,39
1,1,6,9,3,40,8,4,60,39
0,0,4,9,12,30,8,4,42,39
0,0,2,9,7,30,8,4,47,39
0,1,1,13,8,40,8,4,53,2
0,0,1,13,12,40,8,4,24,39
1,0,6,11,1,20,8,4,39,39
0,0,2,13,10,24,8,4,43,28
0,0,2,10,1,40,8,4,24,39
0,0,1,9,1,40,8,4,25,39
0,1,6,13,10,40,8,4,33,39
0,1,1,8,6,43,8,4,25,39
1,1,3,10,12,35,8,4,71,39
0,1,1,13,4,50,8,4,25,39
0,1,6,5,12,40,8,4,51,39
0,1,1,10,3,30,8,4,18,39
0,0,4,9,1,35,8,4,49,39
0,0,2,9,13,43,8,4,46,39
0,1,1,9,6,43,8,4,22,39
1,1,1,11,13,40,8,4,36,39
1,1,6,15,10,30,3,4,57,39
0,1,6,11,13,60,3,4,36,39
0,1,1,9,8,6,6,4,19,39
0,1,6,4,12,40,8,4,28,39
1,1,1,11,1,42,8,4,36,39
0,1,1,7,8,20,8,1,18,39
1,1,2,10,4,56,4,4,47,39
0,0,1,14,10,55,8,4,44,39
0,1,6,9,3,40,8,4,25,39
0,1,6,10,3,45,8,2,45,39
0,1,6,5,7,40,8,4,57,33
1,0,6,10,1,40,8,4,40,39
0,0,2,10,1,57,8,4,44,39
0,1,1,10,8,32,8,4,33,39
0,1,6,13,3,60,6,4,59,39
0,1,6,7,14,25,8,4,23,39
0,1,1,10,3,42,8,4,57,39
0,1,6,5,6,40,8,4,58,39
0,1,6,9,3,43,8,4,54,39
0,0,1,10,8,20,8,4,29,39
0,1,6,10,4,50,6,4,44,39
0,1,6,12,3,40,8,4,24,39
0,1,1,9,8,48,8,4,25,39
0,1,6,4,5,20,8,4,23,39
0,1,2,9,7,40,8,4,27,39
1,1,6,11,4,40,8,4,58,11
0,0,1,13,8,30,8,4,24,39
1,0,6,10,4,50,3,4,56,39
1,1,6,11,4,38,5,4,47,39
1,1,6,16,10,40,3,4,45,39
0,0,1,12,1,38,8,4,25,39
0,1,6,9,8,20,8,4,69,39
0,1,1,13,12,40,8,3,29,39
0,1,6,6,5,40,3,4,53,39
0,1,2,9,8,40,8,4,49,4
0,1,6,9,3,40,8,3,46,39
0,0,3,9,12,50,8,4,60,39
1,1,6,14,4,60,3,4,37,39
0,1,1,9,8,40,8,4,36,39
0,0,2,7,3,45,8,4,47,39
0,0,2,9,1,40,8,4,47,39
0,1,1,12,3,60,8,4,29,39
1,1,6,14,13,20,8,4,44,39
0,1,1,1,5,50,8,4,19,26
0,0,2,13,10,40,8,4,40,39
0,1,6,10,10,15,8,4,68,39
0,0,4,10,4,40,8,3,35,39
0,1,6,12,1,20,4,2,90,30
0,0,1,13,12,40,8,4,35,39
0,1,1,13,4,50,6,4,26,39
0,0,2,11,13,44,8,4,57,39
0,0,1,9,8,28,8,4,28,39
0,1,1,10,10,10,5,4,22,39
0,1,2,6,1,40,8,3,46,39
0,1,6,11,3,40,4,4,48,39
1,1,6,13,4,50,8,4,44,39
0,1,6,7,8,40,3,4,61,39
0,0,1,9,12,30,8,4,22,39
0,1,6,13,3,40,8,2,52,39
0,1,1,15,10,20,3,4,26,39
1,1,6,10,12,50,6,4,51,39
0,1,6,9,14,60,8,4,42,39
1,1,6,7,3,40,8,4,36,39
0,1,6,14,5,70,3,4,71,39
0,1,6,16,10,45,5,4,47,39
0,1,6,10,14,35,8,3,30,39
0,1,6,12,3,65,3,4,47,39
0,0,1,6,7,40,8,4,19,39
0,0,2,10,4,40,8,4,28,39
0,1,6,9,3,50,8,4,35,39
0,1,6,13,10,10,4,4,67,39
0,1,6,9,14,40,8,4,42,39
0,1,6,9,12,60,3,2,42,35
1,1,6,9,7,40,8,4,32,39
1,1,6,11,4,40,4,4,46,39
0,1,6,9,3,40,8,4,65,39
0,1,6,6,7,40,8,4,54,39
0,1,1,10,14,40,8,4,20,39
0,1,6,9,3,48,8,4,27,39
0,1,1,9,12,30,8,4,20,39
0,1,6,10,7,40,8,4,37,39
0,1,6,9,1,40,7,4,38,39
1,1,6,9,3,40,5,4,50,39
0,0,1,9,1,40,8,3,36,39
0,0,2,12,14,40,8,4,40,39
0,0,1,10,6,36,8,4,22,39
1,0,6,10,1,40,8,4,49,39
0,0,5,9,1,40,8,4,41,39
0,0,2,10,1,40,7,2,45,39
0,1,1,10,12,40,8,4,20,39
0,0,2,15,10,39,4,4,55,39
1,1,6,13,4,40,7,4,29,39
0,0,2,13,4,40,8,4,33,39
0,1,6,11,3,40,8,4,48,39
0,0,1,13,7,40,8,4,23,39
1,1,6,8,7,40,8,3,59,39
0,1,1,9,8,60,8,4,32,39
1,1,6,14,10,40,4,4,45,10
1,0,6,13,10,40,4,3,26,39
0,1,6,10,14,60,8,4,48,39
0,1,6,10,12,25,3,4,73,39
0,1,1,9,8,15,8,4,46,39
0,1,6,9,6,40,8,4,22,39
1,1,6,13,4,45,5,4,49,39
0,0,2,9,1,50,8,3,45,39
0,1,1,9,6,50,4,4,22,39
0,1,6,13,14,40,8,4,25,39
0,0,6,10,1,35,8,3,51,23
0,1,1,9,3,40,8,4,34,39
0,0,4,11,4,60,8,3,52,39
0,0,1,13,10,50,4,4,28,39
0,1,1,13,3,40,8,3,28,39
0,0,1,10,12,20,8,4,20,39
0,1,3,10,3,40,8,4,37,39
0,1,6,11,12,40,8,4,27,39
0,1,2,9,14,40,8,4,45,39
