high_income,male,married,higher_edu,managerial_occ,high_hours,gov_jobs,race,age,native_country
1,1,6,10,3,35,3,4,46,39
1,1,6,9,3,40,6,4,37,39
0,1,1,5,6,40,8,4,17,26
0,1,1,9,6,40,8,4,43,31
0,1,1,13,4,40,8,4,34,39
0,0,4,6,8,40,8,4,22,39
0,1,6,9,3,48,8,4,47,39
0,1,1,9,14,30,8,3,34,39
0,0,1,9,8,40,8,4,90,39
1,1,6,9,12,40,8,4,55,39
0,1,2,10,3,40,8,4,37,39
0,1,2,13,1,40,8,4,49,39
0,1,4,10,7,40,8,3,41,39
0,1,1,10,14,30,8,4,21,39
0,1,1,11,5,84,3,4,37,39
0,1,1,9,7,48,8,4,24,39
0,1,2,13,4,40,8,4,33,39
0,1,2,13,4,40,8,4,59,39
0,1,6,13,10,40,7,4,29,39
1,0,6,14,10,50,8,4,40,2
0,1,6,9,7,38,8,4,29,39
1,1,6,9,1,40,8,3,43,39
0,0,4,9,8,40,8,4,31,39
1,1,6,10,10,40,8,4,35,39
1,0,6,14,1,40,8,4,50,39
0,1,6,10,3,40,8,4,47,39
0,1,6,10,13,40,8,3,33,39
0,1,6,9,3,40,8,4,47,39
0,0,1,14,4,50,8,4,34,39
0,0,1,10,4,50,8,4,52,39
0,1,6,9,7,40,8,4,37,39
0,0,1,10,12,20,8,4,19,39
0,1,1,10,3,40,4,4,30,39
0,0,1,10,7,25,8,4,31,39
1,1,6,10,3,48,8,4,38,39
1,1,6,10,3,50,8,4,44,39
0,0,1,9,1,40,8,4,30,39
0,0,3,3,7,40,8,4,46,26
0,1,2,9,14,45,8,4,57,39
0,1,6,9,3,45,8,4,42,39
1,1,6,15,10,80,8,4,30,39
0,0,2,13,1,40,8,4,51,39
0,0,4,9,8,24,8,4,31,39
0,1,6,9,8,40,4,1,33,39
0,0,6,14,4,40,8,4,37,39
0,1,1,9,3,35,3,4,21,39
0,1,2,9,14,60,8,4,43,39
0,1,6,10,3,55,8,4,38,39
1,1,6,14,10,40,8,4,48,39
0,1,6,12,3,35,8,4,36,39
0,0,1,10,1,20,8,4,20,39
0,1,6,10,12,68,8,4,23,39
0,1,6,7,7,40,8,4,29,39
0,1,6,10,11,48,4,4,28,39
0,0,1,11,8,32,4,3,37,39
1,1,6,14,4,37,4,4,47,39
