high_income,male,married,higher_edu,managerial_occ,high_hours,gov_jobs,race,age,native_country
0,1,6,9,7,40,8,1,44,39
0,0,3,4,8,10,8,4,57,39
1,1,6,13,12,40,8,4,30,26
0,0,1,7,8,40,8,4,18,39
0,1,6,9,6,40,8,3,35,39
0,0,4,9,7,44,8,4,43,39
0,1,2,10,7,40,7,4,46,39
1,1,1,15,10,40,3,4,47,39
0,1,6,3,14,40,8,4,71,39
0,0,1,9,8,32,8,3,30,39
1,1,1,9,3,40,8,4,33,39
0,0,4,9,1,40,8,4,26,39
0,0,3,13,1,40,7,4,67,39
0,0,1,7,10,7,4,4,17,39
0,1,2,9,3,40,8,4,44,39
0,0,2,9,12,30,8,4,24,39
0,0,4,2,9,40,8,4,54,26
1,1,6,13,12,40,8,4,38,39
0,1,5,7,3,55,8,3,34,39
1,1,6,12,8,40,7,2,64,39
0,1,6,9,3,44,8,4,24,26
0,0,1,12,13,40,8,4,30,39
0,1,1,14,10,10,5,4,32,39
0,0,2,10,8,56,8,4,51,39
0,1,1,10,8,40,8,3,20,39
0,1,6,9,7,40,8,4,43,39
0,1,2,9,3,40,8,4,34,39
1,1,6,9,11,40,4,4,26,39
0,1,6,9,1,40,7,4,36,39
0,1,6,11,13,40,8,4,52,39
0,0,1,9,13,32,8,4,20,39
0,0,1,10,8,60,8,4,49,39
0,1,6,13,1,43,7,4,44,39
1,1,2,13,10,30,8,4,48,39
0,0,3,9,1,40,8,4,59,39
0,0,6,9,1,40,8,4,51,39
0,0,1,10,12,16,4,4,19,39
0,1,6,10,3,40,4,4,36,39
1,0,7,9,3,42,8,3,43,39
0,1,6,9,3,40,8,4,32,39
0,0,2,9,1,40,8,4,50,9
1,1,6,9,1,40,7,4,50,39
0,0,2,9,1,40,8,4,49,39
0,0,1,10,8,32,8,4,20,39
0,1,1,6,6,40,8,4,28,39
0,0,1,10,1,25,5,4,20,39
1,0,2,14,10,40,8,4,43,39
0,1,6,13,12,35,8,4,63,39
1,0,6,9,1,40,8,4,39,39
1,1,6,14,12,40,3,4,45,39
0,1,1,3,6,40,8,4,21,26
1,0,6,13,12,40,6,4,57,39
0,1,1,10,6,40,8,4,21,39
0,1,1,7,8,20,8,4,17,39
0,0,1,10,12,40,8,4,19,39
1,1,6,13,3,50,8,4,47,39
0,1,2,9,10,40,5,4,39,39
0,1,1,9,3,70,8,4,35,39
1,1,6,9,4,12,3,4,69,39
0,1,6,9,7,40,8,3,37,39
0,1,6,13,12,65,8,4,31,39
1,1,6,14,4,45,6,4,39,39
0,1,6,6,14,40,8,4,61,39
0,1,6,4,8,40,8,4,62,39
1,0,1,14,4,45,8,4,35,39
0,1,5,1,8,40,8,2,61,3
0,0,6,10,1,40,8,3,27,39
0,0,1,10,8,18,8,4,19,39
1,0,1,15,10,50,8,4,51,39
1,1,6,10,3,43,8,4,47,39
1,1,6,13,3,45,8,4,27,39
0,0,1,10,8,45,8,4,25,39
0,1,1,9,1,42,8,4,37,39
0,0,1,10,8,40,8,4,26,39
0,1,6,14,1,35,4,4,45,39
0,1,1,5,5,40,8,4,26,26
0,1,1,9,3,40,7,4,33,39
1,1,6,13,12,60,6,4,45,39
0,1,6,9,8,39,8,4,24,39
1,1,6,14,4,45,8,4,27,39
0,1,6,6,14,40,8,4,43,39
1,1,7,13,10,50,3,4,40,39
0,0,1,13,8,35,8,4,38,39
0,0,1,9,3,40,8,4,24,39
0,1,1,10,5,60,3,4,24,39
1,1,6,9,6,45,8,4,40,39
0,0,3,9,13,8,8,4,69,39
0,0,6,10,8,50,3,4,36,39
0,1,1,6,14,45,8,4,28,39
1,1,6,10,4,70,3,4,58,39
0,1,6,5,5,40,8,4,51,26
0,1,6,5,6,40,8,4,40,39
0,1,6,11,5,70,3,4,27,39
0,1,2,13,12,45,3,4,41,39
0,1,1,11,12,5,8,4,24,39
1,1,6,10,12,55,8,4,68,39
0,1,1,13,13,40,8,4,45,39
1,1,6,13,10,45,8,4,29,39
0,1,6,9,3,40,8,4,21,39
0,1,6,10,10,40,4,4,55,39
0,1,6,9,7,40,8,4,35,39
0,1,6,9,13,40,8,4,41,39
0,0,4,9,3,40,8,3,52,39
0,1,1,14,10,65,8,4,27,39
0,1,1,10,10,40,8,2,21,39
1,0,6,10,12,40,8,4,38,39
1,1,4,10,14,51,8,4,43,39
0,0,1,13,13,15,8,4,27,39
0,1,6,2,12,20,6,4,64,39
1,1,6,10,3,40,8,4,38,39
0,1,6,13,4,40,8,4,43,39
0,0,6,9,1,40,8,4,57,39
0,0,2,14,8,30,8,4,41,39
0,1,6,9,7,40,8,4,33,39
0,1,1,9,10,43,8,4,31,39
0,1,1,13,10,38,4,3,26,9
0,1,1,10,6,27,8,4,19,39
0,1,1,14,10,45,4,4,37,39
0,0,1,6,8,10,8,4,17,39
0,1,6,13,4,47,8,4,29,39
1,1,6,16,10,40,3,4,30,39
0,1,1,10,6,44,8,2,26,30
0,0,4,12,13,3,8,4,36,39
1,1,6,13,10,40,8,4,36,39
1,0,6,14,10,20,4,4,28,39
0,1,1,7,6,5,8,4,18,39
0,0,3,9,4,48,3,2,50,35
0,1,1,10,4,40,7,4,32,39
1,1,6,10,7,50,8,2,36,39
0,1,1,10,11,40,8,4,28,16
0,1,2,9,8,30,6,4,31,39
0,1,6,9,10,15,8,4,57,39
0,1,6,9,3,50,8,4,29,39
0,1,6,2,7,40,8,4,52,26
0,1,2,9,3,40,3,4,41,39
0,1,1,10,12,35,8,3,33,39
