high_income,male,married,higher_edu,managerial_occ,high_hours,gov_jobs,race,age,native_country
0,1,6,11,1,40,7,4,47,39
0,1,6,10,12,70,8,4,43,39
1,1,6,9,7,40,8,4,41,39
0,1,1,9,12,25,8,3,24,39
0,1,1,9,14,50,8,3,37,39
0,0,2,10,4,40,8,4,61,39
1,1,6,13,12,40,8,4,32,39
0,1,6,9,4,40,8,4,55,39
0,1,1,6,8,30,8,4,17,39
0,0,2,9,1,38,8,4,52,39
0,0,2,10,1,40,4,4,29,39
0,1,6,9,3,45,4,4,54,39
1,1,6,9,10,60,3,4,64,39
0,1,6,9,12,40,8,4,47,32
1,1,6,9,12,55,8,4,32,39
0,0,6,14,10,38,8,4,50,39
1,1,2,15,10,60,3,4,42,39
0,1,4,13,3,50,6,4,40,39
0,1,1,7,8,40,8,4,25,39
0,1,1,9,8,25,5,4,18,39
1,1,4,10,1,40,8,3,51,39
1,1,6,14,12,40,8,4,52,39
0,1,1,13,12,40,8,4,22,39
0,1,6,9,11,40,5,3,28,39
0,1,3,7,7,40,8,3,46,39
1,1,6,13,4,50,8,4,38,39
0,0,5,10,3,45,8,4,44,39
1,0,6,13,4,40,8,4,32,39
0,1,2,9,3,40,8,3,46,39
1,1,6,9,3,40,8,4,27,39
0,1,6,10,5,40,4,4,43,39
0,1,1,13,5,40,5,4,44,39
0,1,4,6,4,55,8,4,57,39
0,1,6,9,14,40,8,4,61,39
0,1,1,13,10,40,8,4,29,39
0,1,6,10,7,40,8,4,21,39
0,1,2,9,3,50,7,3,31,39
0,0,1,13,4,30,8,4,23,39
0,1,6,9,6,40,8,3,42,39
0,0,1,10,1,37,8,3,22,39
0,1,6,9,3,40,8,4,27,39
0,1,1,10,6,30,8,4,20,39
0,0,1,10,1,40,8,3,28,39
0,0,2,14,4,8,8,4,46,39
0,1,1,10,8,30,8,4,24,39
0,1,6,10,3,40,8,4,29,39
0,1,6,14,10,55,8,4,27,39
0,1,6,14,4,45,6,4,43,39
0,1,2,10,8,40,8,4,63,39
1,1,6,13,10,40,8,4,30,39
0,0,6,9,1,40,8,4,62,39
0,1,6,4,3,41,8,4,55,39
0,0,2,10,1,35,8,4,52,39
0,1,6,9,7,40,8,4,39,39
0,1,1,10,7,40,8,4,21,39
0,0,4,9,1,40,8,4,55,39
0,0,1,9,1,40,8,4,28,39
0,0,1,9,8,50,8,4,25,39
0,1,1,10,7,40,8,4,23,39
0,0,1,9,12,25,8,3,23,23
1,0,6,14,10,45,4,4,46,39
0,1,2,9,14,55,8,3,33,39
0,1,2,13,4,47,8,4,48,39
0,0,1,13,1,40,4,4,33,39
1,1,6,13,4,50,8,4,42,39
0,1,1,14,10,60,4,4,32,39
1,1,3,13,10,40,8,4,57,39
0,0,3,9,3,26,8,4,27,39
0,1,6,10,1,40,8,4,45,39
0,1,6,7,14,30,4,4,39,39
1,1,6,13,10,40,4,4,47,39
1,0,2,13,12,40,8,4,39,39
1,1,6,10,4,50,3,4,44,39
1,1,6,14,4,40,4,4,46,39
0,0,2,9,1,38,5,4,38,39
0,1,6,9,3,40,8,4,42,39
0,1,1,10,3,40,8,4,30,39
0,0,1,9,7,40,8,3,24,39
0,0,2,5,1,40,8,4,36,39
0,1,1,3,3,40,8,4,23,26
0,1,1,9,14,40,8,4,21,39
0,0,2,9,8,25,8,4,58,39
0,1,6,13,4,47,8,4,37,39
0,1,6,13,12,70,8,4,47,39
0,0,2,9,1,40,8,4,43,39
0,1,6,10,8,48,8,4,43,39
0,0,1,12,8,30,8,4,37,39
0,1,6,10,1,48,8,4,27,26
0,0,1,9,6,35,8,3,30,39
1,1,6,11,10,40,8,2,42,40
0,1,6,12,4,50,8,4,33,39
1,1,6,9,7,40,8,4,52,39
0,1,1,9,6,40,8,4,23,39
0,1,1,10,12,50,8,4,23,39
0,1,1,9,8,40,8,4,19,39
0,1,3,6,5,20,8,4,61,39
1,1,3,13,10,40,8,4,69,39
0,1,4,9,14,40,4,4,41,39
0,0,4,13,4,38,5,3,34,39
0,1,1,11,8,40,8,3,33,39
0,1,6,9,3,55,8,4,31,39
0,0,1,10,1,40,8,4,36,39
0,1,6,11,3,40,8,4,40,39
0,1,6,5,6,40,8,4,52,39
0,1,6,10,4,50,6,4,35,39
1,1,6,10,13,20,8,4,42,39
0,1,6,10,4,50,6,4,44,39
0,0,2,10,1,70,4,4,23,39
0,1,6,9,3,40,8,1,29,39
1,1,6,10,11,40,5,4,54,39
0,1,6,9,14,40,5,4,50,39
0,1,1,13,6,40,8,4,28,39
1,1,6,9,14,40,8,4,50,39
1,0,6,11,13,36,8,4,38,39
0,1,6,13,4,55,8,4,32,39
1,1,6,14,10,55,8,4,34,39
1,1,6,13,4,50,8,4,42,39
0,0,2,13,10,60,8,3,43,39
0,1,6,9,3,40,8,4,33,39
0,0,2,10,1,50,8,4,31,39
1,1,6,13,4,50,8,4,33,39
0,0,1,9,12,40,8,4,34,39
0,1,6,9,4,40,8,4,38,39
0,0,4,13,10,55,4,4,60,39
0,1,6,9,5,40,8,4,58,39
1,1,6,15,10,50,3,4,39,39
0,1,6,9,3,70,8,4,36,39
1,1,6,9,3,48,8,4,50,39
1,1,6,9,14,65,8,4,54,39
1,1,6,12,3,45,8,4,27,39
0,1,4,9,13,40,8,4,33,39
0,0,2,11,4,45,8,4,38,39
0,1,1,9,14,48,8,4,22,39
1,1,6,9,12,72,6,4,53,39
0,0,6,9,1,60,8,4,41,39
0,1,6,9,8,40,8,4,45,39
0,1,6,4,14,40,8,4,51,5
0,0,2,10,8,40,8,4,47,39
0,0,2,10,12,40,8,4,40,39
0,1,6,11,11,46,4,3,28,39
0,0,2,9,1,40,4,4,36,39
0,0,2,9,8,14,8,4,65,39
0,0,1,11,8,40,8,4,26,39
0,1,6,15,10,60,5,4,27,39
1,1,6,11,10,50,8,4,28,39
1,1,6,14,4,65,8,4,49,39
0,1,1,13,3,35,8,4,35,39
0,1,1,13,1,40,8,4,28,39
0,0,1,14,12,50,8,4,32,39
0,1,1,8,3,40,8,4,26,39
0,0,1,10,8,35,8,3,34,39
1,1,6,11,10,40,8,4,52,39
0,1,1,3,5,40,8,4,22,26
0,0,1,9,1,60,8,3,21,39
0,0,1,10,12,40,8,4,20,39
1,0,6,13,10,24,8,4,30,39
0,1,6,9,3,40,8,4,23,39
0,0,1,9,8,64,8,4,27,39
0,1,6,10,4,48,8,4,21,39
1,1,6,15,10,40,8,4,38,39
0,1,6,9,8,40,8,4,28,33
0,0,4,9,4,35,4,3,50,39
0,1,1,10,1,20,8,4,26,39
1,1,6,7,5,55,8,4,31,39
0,1,6,13,12,40,8,4,46,39
1,1,6,10,12,55,8,4,34,39
0,0,2,9,8,80,8,4,23,39
0,0,1,9,1,20,6,4,19,39
0,1,1,7,6,40,8,3,37,39
1,1,6,9,4,70,6,4,48,12
0,0,2,6,1,40,8,4,42,39
0,1,6,9,11,40,5,4,24,39
0,1,1,13,12,50,8,4,25,39
0,0,1,13,8,40,8,4,41,39
0,1,6,9,3,40,8,4,38,39
0,0,1,14,4,45,8,3,28,39
0,1,6,12,10,45,8,4,37,39
0,1,6,9,11,40,4,4,28,39
0,1,2,9,8,40,8,4,25,39
0,1,6,8,14,40,8,3,40,23
0,0,1,9,1,40,8,4,24,39
0,1,1,6,3,65,4,3,24,14
0,0,2,10,8,28,8,4,29,39
0,0,2,12,1,40,8,4,35,39
1,1,6,13,4,40,8,4,40,39
0,1,6,10,8,62,8,4,34,26
0,0,1,9,1,30,4,4,54,39
